,Board Game Rank,Title,Year,Description,Geek Rating,Avg Rating,Num Voters,Num Players Min,Num Players Max,Best Num Players Min,Best Num Players Max,Playtime Min,Playtime Max,Player Min Age,Language Dependence,Weight,Category,Designer
0,1,Gloomhaven,2017,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,8.552,8.79,43254,1,4,3,3,60,120,14,Extensive use of text - massive conversion needed to be playable,3.863101604278075,Thematic | Strategy ,Isaac Childres
1,2,Pandemic Legacy: Season 1,2015,Mutating diseases are spreading around the world - can your team save humanity?,8.461,8.61,42367,2,4,4,4,60,60,13,Extensive use of text - massive conversion needed to be playable,2.8397932816537468,Thematic | Strategy ,Rob Daviau
2,3,Brass: Birmingham,2018,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",8.391,8.67,20391,2,4,3,4,60,120,14,No necessary in-game text,3.9102956167176353,Strategy ,Gavan Brown
3,4,Terraforming Mars,2016,Compete with rival CEOs to make Mars habitable and build your corporate empire.,8.285,8.43,66708,1,5,3,3,120,120,12,Moderate in-game text - needs crib sheet or paste ups,3.2419117647058822,Strategy ,Jacob Fryxelius
4,5,Twilight Imperium: Fourth Edition,2017,"Build an intergalactic empire through trade, research, conquest and grand politics.",8.254,8.69,13930,3,6,6,6,240,480,14,Extensive use of text - massive conversion needed to be playable,4.225806451612903,Thematic | Strategy ,Dane Beltrami
5,6,Gloomhaven: Jaws of the Lion,2020,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.,8.237,8.83,9932,1,4,,,30,120,14,Extensive use of text - massive conversion needed to be playable,3.5654596100278551,Thematic | Strategy ,Isaac Childres
6,7,Through the Ages: A New Story of Civilization,2015,Rewrite history as you build up your civilization in this epic card drafting game!,8.179,8.42,23581,2,4,3,3,120,120,14,Extensive use of text - massive conversion needed to be playable,4.4054283290924516,Strategy ,Vlaada Chv\u00e1til
7,8,Gaia Project,2017,"Expand, research, upgrade, and settle the galaxy with one of 14 alien species.",8.174,8.49,16845,1,4,3,4,60,150,12,No necessary in-game text,4.3555555555555552,Strategy ,Jens Dr\u00f6gem\u00fcller
8,9,Star Wars: Rebellion,2016,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,8.168,8.42,23533,2,4,2,2,180,240,14,Extensive use of text - massive conversion needed to be playable,3.7114178168130487,Thematic,Corey Konieczka
9,10,Twilight Struggle,2005,Relive the Cold War and rewrite history in an epic clash between the USA and USSR.,8.129,8.29,41248,2,2,2,2,120,180,13,Extensive use of text - massive conversion needed to be playable,3.5855023789532607,War  | Strategy ,Ananda Gupta
10,11,Great Western Trail,2016,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,8.126,8.30,30185,1,4,3,3,75,150,12,No necessary in-game text,3.708999158957107,Strategy ,Alexander Pfister
11,12,Spirit Island,2017,Island Spirits join forces using elemental powers to defend their home from invaders.,8.113,8.36,26971,1,4,2,2,90,120,13,Extensive use of text - massive conversion needed to be playable,4.0101146325016854,Strategy ,R. Eric Reuss
12,13,War of the Ring: Second Edition,2012,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-Earth.,8.111,8.49,14094,2,4,2,2,150,180,13,Extensive use of text - massive conversion needed to be playable,4.1528662420382165,War  | Thematic,Roberto Di Meglio
13,14,Scythe,2016,"Five factions vie for dominance in a war-torn, mech-filled, steampunk 1920s Europe.",8.079,8.23,59165,1,5,4,4,90,115,14,Moderate in-game text - needs crib sheet or paste ups,3.4141457179377928,Strategy ,Jamey Stegmaier
14,15,The Castles of Burgundy,2011,"Plan, trade, and build your Burgundian estate to prosperity and prominence.",8.009,8.13,47267,2,4,2,2,30,90,12,No necessary in-game text,2.9995879686856202,Strategy ,Stefan Feld
15,16,Terra Mystica,2012,Play fantastical factions.  Expand your influence by terraforming and joining cults.,7.987,8.14,39806,2,5,4,4,60,150,12,No necessary in-game text,3.9647058823529413,Strategy ,Jens Dr\u00f6gem\u00fcller
16,17,7 Wonders Duel,2015,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,7.980,8.11,62033,2,2,2,2,30,30,10,No necessary in-game text,2.2221646815121701,Strategy ,Antoine Bauza
17,18,Concordia,2013,Lead your Roman dynasty and build the greatest trading empire in the Mediterranean.,7.963,8.12,28704,2,5,4,4,100,100,13,Moderate in-game text - needs crib sheet or paste ups,3.0213640098603123,Strategy ,Mac Gerdts
18,19,Brass: Lancashire,2007,Test your economic mettle as you build and network in the industrial revolution.,7.960,8.18,19701,2,4,4,4,60,120,14,No necessary in-game text,3.8622100954979537,Strategy ,Martin Wallace
19,20,Wingspan,2019,Attract a beautiful and diverse collection of birds to your wildlife reserve.,7.946,8.11,45640,1,5,3,3,40,70,10,Extensive use of text - massive conversion needed to be playable,2.4208899876390606,Strategy  | Family ,Elizabeth Hargrave
20,21,A Feast for Odin,2016,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.",7.933,8.20,17844,1,4,3,3,30,120,12,Moderate in-game text - needs crib sheet or paste ups,3.8450920245398774,Strategy ,Uwe Rosenberg
21,22,Arkham Horror: The Card Game,2016,Investigate the horrors of Arkham while courting cosmic doom.,7.924,8.17,29376,1,2,2,2,60,120,14,Extensive use of text - massive conversion needed to be playable,3.4493062966915686,Customizable | Thematic,Nate French
22,23,Viticulture Essential Edition,2015,Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.,7.912,8.08,30432,1,6,3,4,45,90,13,Moderate in-game text - needs crib sheet or paste ups,2.9016759776536314,Strategy ,Jamey Stegmaier
23,24,Nemesis,2018,Survive an alien-infested spaceship but beware of other players and their agendas.,7.902,8.40,12974,1,5,4,4,90,180,12,Moderate in-game text - needs crib sheet or paste ups,3.3486430062630479,Thematic,Adam Kwapi\u0144ski
24,25,Orléans,2014,"Craftsmen, scholars & monks can help you reign supreme—but who will turn up to help?",7.890,8.08,22697,2,4,4,4,90,90,12,No necessary in-game text,3.0464824120603016,Strategy ,Reiner Stockhausen
25,26,Mage Knight Board Game,2011,"Build your hero’s spells, abilities, and artifacts as you explore & conquer cities.",7.880,8.10,28178,1,4,1,2,60,240,14,Extensive use of text - massive conversion needed to be playable,4.3168399168399167,Thematic | Strategy ,Vlaada Chv\u00e1til
26,27,Root,2018,Decide the fate of the forest as woodland factions fight for contrasting goals.,7.879,8.11,25840,2,4,4,4,60,90,10,Extensive use of text - massive conversion needed to be playable,3.6744412050534501,War  | Strategy ,Cole Wehrle
27,28,Puerto Rico,2002,"Ship goods, construct buildings, and choose roles that benefit you more than others.",7.858,7.98,63570,3,5,4,4,90,150,12,Moderate in-game text - needs crib sheet or paste ups,3.2783882783882783,Strategy ,Andreas Seyfarth
28,29,Food Chain Magnate,2015,Strategically hire and manage your workforce to outcompete rival fast food chains.,7.848,8.14,14118,2,5,3,4,120,240,14,Some necessary text - easily memorized or small crib sheet,4.1932432432432432,Strategy ,Jeroen Doumen
29,30,Caverna: The Cave Farmers,2013,"From a simple cave, expand your dwarven home through mining, agriculture, and more.",7.845,8.02,28438,1,7,4,4,30,210,12,Moderate in-game text - needs crib sheet or paste ups,3.7855670103092782,Strategy ,Uwe Rosenberg
30,31,Everdell,2018,Use resources to build a village of critters and constructions in this woodland game.,7.841,8.10,21645,1,4,3,3,40,80,13,Extensive use of text - massive conversion needed to be playable,2.8114035087719298,Strategy  | Family ,James A. Wilson
31,32,Agricola,2007,Build your farmstead by sowing fields and raising livestock. But don't forget to eat!,7.829,7.94,63975,1,5,3,4,30,150,12,Extensive use of text - massive conversion needed to be playable,3.6397009966777407,Strategy ,Uwe Rosenberg
32,33,Blood Rage,2015,Ragnarök has come! Secure your place in Valhalla in epic Viking battles.,7.820,8.00,34595,2,4,4,4,60,90,14,Moderate in-game text - needs crib sheet or paste ups,2.8809730668983491,Strategy ,Eric M. Lang
33,34,Mansions of Madness: Second Edition,2016,Unravel mysteries in Arkham with your investigative team in this app-guided game.,7.812,8.06,25774,1,5,3,4,120,180,14,Extensive use of text - massive conversion needed to be playable,2.6801541425818884,Thematic,Nikki Valens
34,35,Pandemic Legacy: Season 2,2017,The world is a mystery after a devastating pandemic—where will your team go?,7.810,8.14,12423,2,4,4,4,60,60,14,Extensive use of text - massive conversion needed to be playable,3.2522935779816513,Thematic,Rob Daviau
35,36,The 7th Continent,2017,Journey through a vibrant but deadly land to uncover the key to lifting your curse.,7.803,8.13,17307,1,4,1,2,5,1000,14,Extensive use of text - massive conversion needed to be playable,2.8702594810379241,Thematic,Ludovic Roudy
36,37,Maracaibo,2019,Seafarers journey to obtain wealth and fame in the 17th century Caribbean.,7.787,8.28,8273,1,4,3,3,30,120,12,Some necessary text - easily memorized or small crib sheet,3.8843813387423936,Strategy ,Alexander Pfister
37,38,Kingdom Death: Monster,2015,Try to survive in a nightmarish world that lies under eternal darkness.,7.764,8.65,7653,1,4,4,4,60,180,17,Extensive use of text - massive conversion needed to be playable,4.2514395393474089,Thematic,Adam Poots
38,39,The Crew: The Quest for Planet Nine,2019,Go on a planet-discovering space mission in this cooperative trick-taking game.,7.763,8.01,16903,2,5,4,4,20,20,10,No necessary in-game text,2.0055710306406684,Strategy  | Family ,Thomas Sing
39,40,Tzolk'in: The Mayan Calendar,2012,"Lead your people, build monuments and make offerings to earn the favour of the gods.",7.753,7.90,31281,2,4,4,4,90,90,13,No necessary in-game text,3.667867867867868,Strategy ,Simone Luciani
40,41,Power Grid,2004,"Bid, network, and manage resources in a race to supply the most cities with power.",7.752,7.85,56691,2,6,4,5,120,120,12,No necessary in-game text,3.2702588035638525,Strategy ,Friedemann Friese
41,42,Underwater Cities,2018,"Develop future cities on the seafloor through politics, production, and science.",7.749,8.12,10500,1,4,2,2,80,150,12,Moderate in-game text - needs crib sheet or paste ups,3.5970149253731343,Strategy ,Vladim\u00edr Such\u00fd
42,43,Marvel Champions: The Card Game,2019,Battle Marvel villains with unique teams of iconic heroes in this LCG.,7.742,8.22,10510,1,4,1,2,45,90,14,Extensive use of text - massive conversion needed to be playable,2.8125,Customizable,Michael Boggs
43,44,Anachrony,2017,Use Exosuits & time travel to ensure your vision for the future after the cataclysm.,7.738,8.11,11909,1,4,3,3,30,120,15,No necessary in-game text,3.9925037481259369,Strategy ,D\u00e1vid Turczi
44,45,Mechs vs. Minions,2016,Cooperatively program and pilot your mechs to defeat an army of marauding minions.,7.737,8.04,14291,2,4,4,4,60,120,14,Moderate in-game text - needs crib sheet or paste ups,2.4163568773234201,Thematic | Strategy ,Chris Cantrell
45,46,Star Wars: Imperial Assault,2014,Play as rebel or imperial forces to fulfil mission objectives.,7.734,8.01,20748,1,5,2,2,60,120,14,Extensive use of text - massive conversion needed to be playable,3.3057247259439708,Thematic,Justin Kemppainen
46,47,Clans of Caledonia,2017,"Lead your unique Scottish clan to economic might via production, trade, and export.",7.732,8.00,15228,1,4,4,4,30,120,12,No necessary in-game text,3.4624000000000001,Strategy ,Juma Al-JouJou
47,48,Too Many Bones,2017,Toss gobs of unique dice in an epic adventure en route to a final boss showdown.,7.721,8.43,6297,1,4,3,3,60,120,12,Extensive use of text - massive conversion needed to be playable,3.8409893992932864,Thematic | Strategy ,Josh J. Carlson
48,49,Le Havre,2008,"Establish a supply chain by collecting resources, building industries, and shipping.",7.717,7.87,26784,1,5,3,3,30,150,12,Moderate in-game text - needs crib sheet or paste ups,3.7398068669527897,Strategy ,Uwe Rosenberg
49,50,Azul,2017,Artfully embellish the walls of your palace by drafting the most beautiful tiles.,7.705,7.82,55346,2,4,2,2,30,45,8,No necessary in-game text,1.7627118644067796,Abstract  | Family ,Michael Kiesling
50,51,Through the Ages: A Story of Civilization,2006,"Lead your civilization through strategic drafting of leaders, technologies, and more.",7.703,7.92,18082,2,4,3,3,120,120,12,Extensive use of text - massive conversion needed to be playable,4.1749723145071984,Strategy ,Vlaada Chv\u00e1til
51,52,Clank! Legacy: Acquisitions Incorporated,2019,"""Go forth, be bold, and ACQUIRE!"" in this campaign version of ""Clank!""",7.703,8.75,3579,2,4,4,4,90,120,13,Moderate in-game text - needs crib sheet or paste ups,2.6949152542372881,Thematic,Andy Clautice
52,53,Eclipse,2011,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",7.702,7.89,26311,2,6,4,4,60,180,14,No necessary in-game text,3.6986228813559321,Strategy ,Touko Tahkokallio
53,54,Barrage,2019,Nations vie for hydroelectric dominance in a dystopia where water is power.,7.694,8.23,7011,1,4,4,4,60,120,14,No necessary in-game text,4.0261569416498997,Strategy ,Tommaso Battista
54,55,Android: Netrunner,2012,Megacorporation versus Netrunner in this futuristic cyberpunk game of cat and mouse.,7.672,7.88,26905,2,2,2,2,45,45,14,Extensive use of text - massive conversion needed to be playable,3.3841229193341871,Customizable,Richard Garfield
55,56,The Gallerist,2015,"Amass a fortune, and stake your reputation by operating a lucrative art gallery.",7.671,8.05,9959,1,4,4,4,60,150,13,No necessary in-game text,4.2790368271954673,Strategy ,Vital Lacerda
56,57,Robinson Crusoe: Adventures on the Cursed Island,2012,Work together—with Friday or alone—to survive on a deserted island.,7.669,7.84,34892,1,4,,,60,120,14,Extensive use of text - massive conversion needed to be playable,3.7859798194370686,Thematic,Joanna Kijanka
57,58,The Voyages of Marco Polo,2015,"Using unique abilities, fulfill contracts and reach your goals along the Silk Road.",7.666,7.86,20566,2,4,4,4,40,100,12,No necessary in-game text,3.1857868020304569,Strategy ,Simone Luciani
58,59,Fields of Arle,2014,"Construct dikes, drain bogs, harvest flax and tend to newborn animals in East Frisia.",7.660,8.10,8289,1,2,2,2,60,120,13,Some necessary text - easily memorized or small crib sheet,3.8796296296296298,Strategy ,Uwe Rosenberg
59,60,On Mars,2020,"Be a part of the first Martian colony, striving to be the best contributor.",7.659,8.30,6161,1,4,3,3,90,150,14,No necessary in-game text,4.6402234636871507,Strategy ,Vital Lacerda
60,61,Race for the Galaxy,2007,"Worlds await! Colonize, develop and conquer taking advantage of others' choices.",7.657,7.76,46880,2,4,2,2,30,60,12,Some necessary text - easily memorized or small crib sheet,2.9848441521303974,Strategy ,Thomas Lehmann
61,62,Teotihuacan: City of Gods,2018,Use your worker dice to raise the legendary and breathtaking Pyramid of the Sun.,7.649,7.95,13415,1,4,4,4,90,120,14,No necessary in-game text,3.7644151565074133,Strategy ,Daniele Tascini
62,63,7 Wonders,2010,Draft cards to develop your ancient civilization and build its Wonder of the World.,7.648,7.75,85464,2,7,4,5,30,30,10,No necessary in-game text,2.3282773564463706,Strategy  | Family ,Antoine Bauza
63,64,Pax Pamir: Second Edition,2019,"Swing the tides of the ""Great Game"" as countries vie for control of Afghanistan.",7.646,8.42,4808,1,5,4,4,45,120,13,Moderate in-game text - needs crib sheet or paste ups,3.7978723404255321,Strategy ,Cole Wehrle
64,65,Aeon's End,2016,"Mages defend humanity’s last city, harnessing alien powers to destroy monstrosities.",7.646,8.03,11537,1,4,2,2,60,60,14,Extensive use of text - massive conversion needed to be playable,2.7755102040816326,Strategy ,Kevin Riley
65,66,Lisboa,2017,Compete to reconstruct the city of Lisboa after the great earthquake of 1755.,7.645,8.19,6915,1,4,3,3,60,120,12,No necessary in-game text,4.5584795321637426,Strategy ,Vital Lacerda
66,67,The Quacks of Quedlinburg,2018,"Pull ingredients from your stock to make your pot bubble, but hopefully not explode!",7.644,7.83,23684,2,4,4,4,45,45,10,Moderate in-game text - needs crib sheet or paste ups,1.944055944055944,Family ,Wolfgang Warsch
67,68,Crokinole,1876,Flick discs and make trick shots in this traditional Canadian dexterity game!,7.640,7.91,12407,2,4,2,2,30,30,8,No necessary in-game text,1.254606365159129,Family ,(Uncredited)
68,69,Clank!: A Deck-Building Adventure,2016,Claim your treasures but don't attract the dragon in this deck-building dungeon race.,7.640,7.81,28672,2,4,3,3,30,60,12,Moderate in-game text - needs crib sheet or paste ups,2.2060810810810811,Strategy  | Family ,Paul Dennen
69,70,Five Tribes,2014,"Move assassins, elders & builders through Naqala to claim oases & control djinns.",7.633,7.78,32682,2,4,2,2,40,80,13,No necessary in-game text,2.8577075098814229,Strategy ,Bruno Cathala
70,71,Paladins of the West Kingdom,2019,Invaders are coming from everywhere.  Keep the faith and defend your homeland.,7.632,8.07,8815,1,4,2,2,90,120,12,Some necessary text - easily memorized or small crib sheet,3.665909090909091,Strategy ,Shem Phillips
71,72,Dominant Species,2010,"With an ice age approaching, which animals will best propagate, migrate, and adapt?",7.631,7.84,18170,2,6,4,4,120,240,14,Moderate in-game text - needs crib sheet or paste ups,4.0378006872852232,Strategy ,Chad Jensen
72,73,Lords of Waterdeep,2012,Deploy agents and hire adventurers to expand your control over the city of Waterdeep.,7.623,7.75,46405,2,5,3,4,60,120,12,Moderate in-game text - needs crib sheet or paste ups,2.4619692020531962,Strategy ,Peter Lee
73,74,Agricola,Revised Edition,,7.617,8.03,9872,1,4,4,4,30,120,12,Extensive use of text - massive conversion needed to be playable,3.5,Strategy ,Uwe Rosenberg
74,75,Keyflower,2012,Compete in a unique auction system to build the most prosperous village.,7.610,7.80,19227,2,6,4,4,90,120,12,No necessary in-game text,3.3474860335195529,Strategy ,Sebastian Bleasdale
75,76,Tainted Grail: The Fall of Avalon,2019,"Exploration, battle and diplomacy in a dark Arthurian realm.",7.603,8.37,6584,1,4,1,2,60,120,14,Unplayable in another language,3.2852348993288589,Thematic,Krzysztof Piskorski
76,77,Caylus,2005,Entrepreneurs pay workers & bribe an official to build a Château & gain royal favor.,7.596,7.77,26943,2,5,3,3,60,150,12,No necessary in-game text,3.8035826524198617,Strategy ,William Attia
77,78,Architects of the West Kingdom,2018,Will you be a virtuous or nefarious servant of the king? Build your way to glory.,7.590,7.83,17677,1,5,4,4,60,80,12,Some necessary text - easily memorized or small crib sheet,2.7754442649434572,Strategy ,Shem Phillips
78,79,El Grande,1995,"Use your caballeros to control regions of medieval Spain, keeping clear of the King!",7.585,7.75,23720,2,5,5,5,60,120,12,Moderate in-game text - needs crib sheet or paste ups,3.0524809160305342,Strategy ,Wolfgang Kramer
79,80,Twilight Imperium: Third Edition,2005,"Epic empire-building game of interstellar conflict, trade, and struggle for power.",7.577,7.83,18370,3,6,6,6,180,240,14,Extensive use of text - massive conversion needed to be playable,4.252318204001952,Thematic | Strategy ,Christian T. Petersen
80,81,Battlestar Galactica: The Board Game,2008,How can the human race survive when you don't know who is actually human?,7.573,7.74,33085,3,6,5,5,120,180,14,Extensive use of text - massive conversion needed to be playable,3.2441583214115401,Thematic,Corey Konieczka
81,82,Eldritch Horror,2013,An unknown Elder God approaches the world—and you must solve mysteries to stop it.,7.569,7.80,29734,1,8,4,4,120,240,14,Extensive use of text - massive conversion needed to be playable,3.3182125930941098,Thematic,Corey Konieczka
82,83,Troyes,2010,"Defend the city and rise to power by influencing the merchants, knights and clergy.",7.567,7.76,19223,1,4,3,3,90,90,12,No necessary in-game text,3.4575221238938054,Strategy ,S\u00e9bastien Dujardin
83,84,Rising Sun,2018,"Lead your clan to victory through negotiation, combat, monsters and favors from Kami.",7.566,7.87,16100,3,5,4,5,90,120,14,Some necessary text - easily memorized or small crib sheet,3.2758620689655173,Strategy ,Eric M. Lang
84,85,Grand Austria Hotel,2015,Serve guests and prepare rooms to be the best hotelier in the Viennese modern age.,7.566,7.86,13011,2,4,2,2,60,120,12,No necessary in-game text,3.2226277372262775,Strategy ,Virginio Gigli
85,86,Dominion: Intrigue,2009,"Enlist torturers, swindlers, and saboteurs to gain wealth and dominate the kingdom.",7.566,7.72,30301,2,4,3,3,30,30,13,Moderate in-game text - needs crib sheet or paste ups,2.4215314632297193,Strategy ,Donald X. Vaccarino
86,87,Mombasa,2015,Acquire shares of unique companies and propagate their trading posts to rake in cash.,7.565,7.88,11074,2,4,4,4,75,150,12,No necessary in-game text,3.9010416666666665,Strategy ,Alexander Pfister
87,88,The Lord of the Rings: Journeys in Middle-Earth,2019,"Heroes explore Middle-earth, working together to combat evil in an epic campaign.",7.555,8.07,9305,1,5,2,2,60,120,14,Extensive use of text - massive conversion needed to be playable,2.5649350649350651,Thematic,Nathan I. Hajek
88,89,Raiders of the North Sea,2015,Assemble and prepare a formidable crew of vikings to pillage towns and gain glory.,7.547,7.79,16444,2,4,3,3,60,80,12,Moderate in-game text - needs crib sheet or paste ups,2.5277207392197125,Strategy ,Shem Phillips
89,90,Patchwork,2014,Piece together a quilt and leave no holes to become the button master.,7.547,7.65,47618,2,2,2,2,15,30,8,No necessary in-game text,1.6301587301587301,Abstract  | Family ,Uwe Rosenberg
90,91,Russian Railroads,2013,"Acquire locomotives & industry, build track, and hire the best engineers in Russia.",7.542,7.77,15059,2,4,4,4,90,120,12,No necessary in-game text,3.4096858638743455,Strategy ,Helmut Ohley
91,92,Tigris & Euphrates,1997,Keep your Mesopotamian civilisation in perfect balance through revolutions and wars.,7.529,7.70,25462,2,4,4,4,90,90,12,No necessary in-game text,3.5096262740656852,Strategy ,Reiner Knizia
92,93,Eclipse: Second Dawn for the Galaxy,2020,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",7.528,8.79,3129,2,6,4,4,60,200,14,No necessary in-game text,3.5034482758620689,Strategy ,Touko Tahkokallio
93,94,Codenames,2015,Give your team clever one-word clues to help them spot their agents in the field.,7.526,7.62,68907,2,8,6,6,15,15,14,Unplayable in another language,1.2864321608040201,Party ,Vlaada Chv\u00e1til
94,95,Roll for the Galaxy,2014,"Utilize your dice populace to develop technologies, settle worlds, and ship goods.",7.522,7.67,26771,2,5,3,4,45,45,13,Moderate in-game text - needs crib sheet or paste ups,2.774193548387097,Strategy ,Wei-Hwa Huang
95,96,Trajan,2011,Manage and rule all aspects of Ancient Rome with a clever action selection mancala.,7.519,7.76,14896,2,4,4,4,60,120,12,No necessary in-game text,3.6536643026004727,Strategy ,Stefan Feld
96,97,Lorenzo il Magnifico,2016,Avoid excommunication and lead your family to power during the Italian Renaissance.,7.518,7.89,9432,2,4,4,4,60,120,12,No necessary in-game text,3.2787456445993031,Strategy ,Flaminia Brasini
97,98,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,The game is afoot as you and your irregular friends search Victorian London for clues,7.510,7.73,17527,1,8,2,2,60,120,13,Unplayable in another language,2.6788194444444446,Thematic,Raymond Edwards
98,99,Dominion,2008,Acquire the most valuable lands by building your deck with treasure and power cards.,7.509,7.62,78810,2,4,3,3,30,30,13,Moderate in-game text - needs crib sheet or paste ups,2.3558704453441295,Strategy ,Donald X. Vaccarino
99,100,Pandemic,2008,Your team of experts must prevent the world from succumbing to a viral pandemic.,7.504,7.61,103666,2,4,4,4,45,45,8,Some necessary text - easily memorized or small crib sheet,2.4108157653528872,Strategy  | Family ,Matt Leacock
100,101,Decrypto,2018,Decipher your opponents' code before they decipher yours. Don't get caught.,7.500,7.80,12183,3,8,4,4,15,45,12,Unplayable in another language,1.8146341463414635,Party ,Thomas Dagenais-Lesp\u00e9rance
101,102,Pandemic: Iberia,2016,"Travel from Barcelona to Lisboa to cure malaria, typhus, yellow fever, and cholera.",7.497,7.92,8466,2,5,4,4,45,45,8,Some necessary text - easily memorized or small crib sheet,2.5724137931034483,Strategy ,Jes\u00fas Torres Castro
102,103,Dune: Imperium,2020,"Influence, intrigue, and combat in the universe of Dune.",7.497,8.43,3900,1,4,3,4,60,120,14,Some necessary text - easily memorized or small crib sheet,2.9090909090909092,Thematic | Strategy ,Paul Dennen
103,104,The Isle of Cats,2019,Rescue as many island cats as you can before Lord Vesh comes to destroy their home.,7.492,8.02,7275,1,4,3,3,60,90,8,Moderate in-game text - needs crib sheet or paste ups,2.3155555555555556,Strategy  | Family ,Frank West
104,105,Champions of Midgard,2015,"Gain glory by defending a Viking harbor town against trolls, draugr and other beasts.",7.492,7.77,13592,2,4,4,4,60,90,10,Some necessary text - easily memorized or small crib sheet,2.5907692307692307,Strategy ,Ole Steiness
105,106,Yokohama,2016,Claim your fame as the dominant merchant in the Meiji period of Yokohama.,7.488,7.85,9070,2,4,3,3,90,90,14,Some necessary text - easily memorized or small crib sheet,3.2787456445993031,Strategy ,Hisashi Hayashi
106,107,Inis,2016,Claim the crown through merit and wisdom in this Celtic island struggle.,7.487,7.81,13012,2,4,4,4,60,90,14,Extensive use of text - massive conversion needed to be playable,2.8764367816091956,Strategy ,Christian Martinez
107,108,Kemet,2012,Play as warring Egyptian Gods and build the most powerful army to dominate Egypt.,7.486,7.71,16433,2,5,4,5,90,120,13,No necessary in-game text,3.0015151515151515,Strategy ,Jacques Bariot
108,109,Clank! In! Space!: A Deck-Building Adventure,2017,Tiptoe your way through Lord Eradikus' spaceship to nab artifacts and an escape pod.,7.485,7.86,9460,2,4,3,3,45,90,12,Moderate in-game text - needs crib sheet or paste ups,2.5276073619631902,Strategy ,Paul Dennen
109,110,Forbidden Stars,2015,Choose one of four Warhammer 40K factions and wage war across the Herakon Cluster.,7.478,7.97,7594,2,4,3,3,120,180,14,Extensive use of text - massive conversion needed to be playable,3.8285714285714287,Strategy ,Samuel Bailey
110,111,Lost Ruins of Arnak,2020,Explore an island to find resources and discover the lost ruins of Arnak.,7.475,8.20,5032,1,4,3,3,30,120,12,Moderate in-game text - needs crib sheet or paste ups,2.7559999999999998,Strategy  | Family ,Elwen
111,112,Vinhos Deluxe Edition,2016,The strategic craft of fine winemaking.,7.463,8.21,4383,1,4,4,4,60,135,14,No necessary in-game text,4.0470588235294116,Strategy ,Vital Lacerda
112,113,Star Wars: X-Wing Miniatures Game,2012,Pilot your ships in tight arcs to take out the enemy! The universe can be yours.,7.461,7.69,23190,2,2,2,2,30,45,14,Moderate in-game text - needs crib sheet or paste ups,2.4874776386404291,War  | Customizable,Jason Little
113,114,Legendary Encounters: An Alien Deck Building Game,2014,"In space, no one can hear you build a deck of marine & weapon cards to fight aliens.",7.455,7.79,11405,1,5,3,3,30,60,17,Moderate in-game text - needs crib sheet or paste ups,2.7082352941176469,Thematic,Ben Cichoski
114,115,Alchemists,2014,Showcase your alchemical know-how by publishing theories in this app-driven game.,7.454,7.67,18503,2,4,4,4,120,120,13,Moderate in-game text - needs crib sheet or paste ups,3.8998988877654197,Strategy ,Mat\u00fa\u0161 Kotry
115,116,Stone Age,2008,Travel to the time of hunters and gatherers in this classic game of tools and tribes.,7.452,7.56,45448,2,4,4,4,60,90,10,No necessary in-game text,2.4760213143872112,Strategy  | Family ,Bernd Brunnhofer
116,117,Cartographers,2019,The Queen's cartographers compete to sketch the most efficient maps.,7.448,7.75,11838,1,100,3,4,30,45,10,Some necessary text - easily memorized or small crib sheet,1.9069767441860466,Family ,Jordy Adan
117,118,Endeavor: Age of Sail,2018,"Spread your glory over the vast, as of yet unexplored world in this updated classic.",7.448,8.01,6467,2,5,4,4,60,90,13,Some necessary text - easily memorized or small crib sheet,2.8031914893617023,Strategy ,Carl de Visser
118,119,Star Realms,2014,Compete head-to-head to create the most powerful deck of spaceships and bases.,7.445,7.58,36464,2,2,2,2,20,20,12,Some necessary text - easily memorized or small crib sheet,1.9422764227642277,Strategy ,Robert Dougherty
119,120,Res Arcana,2019,"Rival mages create artifacts, vying for places of power and ancient monuments.",7.441,7.79,10690,2,4,2,2,20,60,12,Some necessary text - easily memorized or small crib sheet,2.5855263157894739,Strategy ,Thomas Lehmann
120,121,Descent: Journeys in the Dark,Second Edition,,7.439,7.68,22884,1,5,5,5,120,120,14,Extensive use of text - massive conversion needed to be playable,3.2065813528336382,Thematic,Daniel Clark (I)
121,122,PARKS,2019,"Hike through National Parks tiles, collecting memories and admiring gorgeous scenery.",7.438,7.90,8190,1,5,3,3,30,60,10,Some necessary text - easily memorized or small crib sheet,2.1767241379310347,Family ,Henry Audubon
122,123,Age of Steam,2002,"Outperform your railroad rivals with shares, auctions, trackbuilding, and deliveries.",7.434,7.78,8967,1,6,4,4,120,120,13,Some necessary text - easily memorized or small crib sheet,3.9014830508474576,Strategy ,Martin Wallace
