,Board Game Rank,Title,Year,Description,Geek Rating,Avg Rating,Num Voters,Num Players Min,Num Players Max,Best Num Players Min,Best Num Players Max,Playtime Min,Playtime Max,Player Min Age,Language Dependence,Weight,Category,Designer
1310,1311,Himalaya,2002,"Plan caravan journeys to raise your tribe's piety, power and wealth in the Himalayas.",6.353,6.99,2122,3,4,4,4,60,60,8,No necessary in-game text,2.5764192139737991,Strategy ,R\u00e9gis Bonness\u00e9e
1311,1312,Pirate's Cove,2002,Pirate's plunder as they seek booty to bury and fame at the end of a cannon!,6.353,6.57,7955,3,5,5,5,60,90,8,Moderate in-game text - needs crib sheet or paste ups,2.0063291139240507,Family ,Paul Randles
1312,1313,Escape the Dark Castle,2017,"After years of wrongful incarceration, you embark on a desperate quest to escape...",6.352,7.59,2307,1,4,3,4,20,45,14,Extensive use of text - massive conversion needed to be playable,1.25,Thematic,Alex Crispin
1313,1314,Unmatched: Jurassic Park – InGen vs Raptors,2020,"Hold onto your butts, it's dinos vs. the world's greatest hunter.",6.352,8.28,759,2,2,2,2,20,40,9,Moderate in-game text - needs crib sheet or paste ups,1.8461538461538463,,Rob Daviau
1314,1315,Indigo,2012,Create tangled paths and move gemstones to your advantage.,6.352,6.83,2932,2,4,4,4,30,30,8,No necessary in-game text,1.4774193548387098,Abstract  | Family ,Reiner Knizia
1315,1316,Revolution!,2009,"Decisions, decisions. Blackmail, bribe or threat? Connive to control the colony.",6.352,6.72,4111,3,4,4,4,60,60,13,Some necessary text - easily memorized or small crib sheet,2.0406504065040649,Strategy  | Family ,Philip duBarry
1316,1317,Risk 2210 A.D.,2001,"Specialized commanders lead robot armies in a war for the earth, sea, and even moon.",6.352,6.70,6728,2,5,4,5,240,240,10,Moderate in-game text - needs crib sheet or paste ups,2.7192691029900331,War ,Rob Daviau
1317,1318,Ogre,1977,The original asymetrical sci-fi wargame pits the mega-tank Ogre against lesser units.,6.351,6.95,2691,1,3,2,2,45,45,10,Some necessary text - easily memorized or small crib sheet,2.3469387755102042,War ,Steve Jackson (I)
1318,1319,Shogi,1587,"Deploy captured pieces for rapid checkmates in Japan's traditional ""general's game.""",6.351,7.37,1555,2,2,2,2,60,60,8,No necessary in-game text,3.8181818181818183,Abstract ,(Uncredited)
1319,1320,On the Underground,2006,Build the most successful lines for the Tube and help the Passenger commute!,6.347,6.90,2394,2,5,3,3,60,60,7,No necessary in-game text,2.4361370716510904,Strategy ,Sebastian Bleasdale
1320,1321,Ohanami,2019,Build the most Zen Japanese garden by collecting cards of just the right value.,6.346,7.34,1400,2,4,3,3,20,20,8,No necessary in-game text,1.1176470588235294,,Steffen Benndorf
